股票代码,公司名称,节点,产业链,层级,上中下游,代理说明,报告期,毛利率%,净利率%,ROE_%,ROE加权%
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2023-03-31,41.18,15.89,2.95,2.9
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2023-06-30,42.37,22.05,8.71,8.38
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2023-09-30,39.83,20.39,13.62,12.78
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2023-12-31,41.1,18.26,17.88,16.0
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2024-03-31,43.4,19.09,4.52,4.4
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2024-06-30,45.5,22.54,10.8,10.29
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2024-09-30,44.22,21.91,16.76,15.37
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2024-12-31,42.85,19.08,24.83,18.09
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2025-03-31,43.02,19.1,4.95,4.84
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2025-06-30,42.17,19.83,9.81,9.49
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2025-09-30,41.41,18.24,15.31,14.23
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2025-12-31,40.1,13.74,16.41,14.64
002371,北方华创,光刻设备,半导体产业链,4级,上游,设备龙头，光刻非主营但同行业,2026-03-31,40.77,15.19,4.25,4.16
301269,华大九天,EDA软件,半导体产业链,3级,上游,国内最大EDA厂商,2023-03-31,97.02,13.23,0.45,0.45
301269,华大九天,EDA软件,半导体产业链,3级,上游,国内最大EDA厂商,2023-06-30,95.55,20.7,1.79,1.8
301269,华大九天,EDA软件,半导体产业链,3级,上游,国内最大EDA厂商,2023-09-30,93.82,26.8,3.64,3.61
