数据类型,报告期,行业,数值,产业链,层级,上中下游
产能利用率_%,2026-Q2,化学原料和化学制品制造业,69.4,生物医药产业链,3级,上游
产能利用率_%,2026-Q2,有色金属冶炼和压延加工业,76.2,新能源汽车产业链,3级,上游
产能利用率_%,2026-Q2,通用设备制造业,80.1,机器人产业链,2级,上游
产能利用率_%,2026-Q2,专用设备制造业,76.7,机器人产业链,2级,上游
产能利用率_%,2026-Q2,汽车制造业,70.8,新能源汽车产业链,2级,中游
产能利用率_%,2026-Q2,电气机械和器材制造业,70.3,新能源汽车产业链,2级,上游
产能利用率_%,2026-Q2,计算机、通信和其他电子设备制造业,78.7,半导体产业链,2级,中游
产能利用率_%,2026-Q2,医药制造业,71.1,生物医药产业链,2级,中游
工业增加值YoY_%,2026年6月,计算机、通信和其他电子设备制造业,15.7,半导体产业链,2级,中游
工业增加值YoY_%,2026年6月,汽车制造业,8.7,新能源汽车产业链,2级,中游
工业增加值YoY_%,2026年6月,电气机械和器材制造业,7.0,新能源汽车产业链,2级,上游
工业增加值YoY_%,2026年6月,通用设备制造业,9.9,机器人产业链,2级,上游
工业增加值YoY_%,2026年6月,专用设备制造业,10.0,机器人产业链,2级,上游
工业增加值YoY_%,2026年6月,铁路、船舶、航空航天和其他运输设备制造业,18.2,低空经济产业链,2级,中游
工业增加值YoY_%,2026年6月,化学原料和化学制品制造业,0.1,生物医药产业链,3级,上游
工业增加值YoY_%,2026年6月,有色金属冶炼和压延加工业,3.8,新能源汽车产业链,3级,上游
