产业链,上中下游,层级,节点,股票代码,公司名称,最新报告期,毛利率%,净利率%,ROE_%,ROE加权%
半导体产业链,上游,3级,EDA软件,301269,华大九天,2026-03-31,78.8,-28.44,-1.39,-1.4
半导体产业链,上游,3级,半导体IP核授权服务,688037,芯原股份,2026-03-31,46.69,3.09,0.13,0.13
半导体产业链,上游,4级,涂胶显影设备,688037,芯原股份,2026-03-31,46.69,3.09,0.13,0.13
半导体产业链,上游,3级,EDA软件,301103,广立微,2026-03-31,44.24,10.69,1.72,1.7
半导体产业链,上游,4级,CMP抛光设备,688120,华海清科,2026-03-31,42.31,20.58,3.26,3.2
半导体产业链,上游,3级,光刻胶,300346,南大光电,2026-03-31,41.86,22.97,3.5,3.45
半导体产业链,上游,3级,IC生产设备,002371,北方华创,2026-03-31,40.77,15.19,4.25,4.16
半导体产业链,上游,4级,光刻设备,002371,北方华创,2026-03-31,40.77,15.19,4.25,4.16
半导体产业链,上游,4级,等离子刻蚀机,002371,北方华创,2026-03-31,40.77,15.19,4.25,4.16
半导体产业链,上游,4级,等离子刻蚀机,688012,中微公司,2026-03-31,39.89,31.51,4.0,3.83
半导体产业链,上游,4级,涂胶显影设备,688329,芯源微,2026-03-31,38.31,-60.33,-3.0,-3.06
半导体产业链,上游,3级,IC生产设备,688396,华润微,2026-03-31,25.49,10.57,1.43,1.43
半导体产业链,上游,3级,光刻胶,300655,晶瑞电材,2026-03-31,21.35,2.4,0.24,0.25
半导体产业链,上游,4级,离子注入机,600641,万业企业,2026-03-31,18.5,-8.91,-0.21,-0.21
半导体产业链,上游,4级,封装基板,688010,华立科技,2026-03-31,13.37,-17.33,-1.05,-1.05
半导体产业链,上游,4级,封装基板,002456,欣旺达,2026-03-31,7.37,-6.04,-6.37,-6.57
半导体产业链,中游,5级,MCU芯片,603986,兆易创新,2026-03-31,57.08,35.16,6.12,5.78
半导体产业链,中游,5级,AI芯片,688041,海光信息,2026-03-31,55.6,21.75,2.99,2.92
半导体产业链,中游,5级,中央处理器芯片,688041,海光信息,2026-03-31,55.6,21.75,2.99,2.92
半导体产业链,中游,5级,AI芯片,688256,寒武纪,2026-03-31,54.33,35.12,8.2,7.87
半导体产业链,中游,4级,模拟集成电路,300661,圣邦股份,2026-03-31,51.63,11.18,2.31,2.26
半导体产业链,中游,5级,电源管理芯片,300661,圣邦股份,2026-03-31,51.63,11.18,2.31,2.26
半导体产业链,中游,5级,SoC芯片,300458,全志科技,2026-03-31,40.21,22.26,6.31,6.12
半导体产业链,中游,5级,MCU芯片,300613,国芯科技,2026-03-31,39.08,14.87,2.87,2.83
半导体产业链,中游,5级,中央处理器芯片,688047,龙芯中科,2026-03-31,34.87,-84.48,-4.65,-4.75
半导体产业链,中游,5级,基带芯片,688220,翱捷科技,2026-03-31,30.14,-2.48,-0.51,-0.52
半导体产业链,中游,4级,图像传感器,603501,韦尔股份,2026-03-31,29.38,7.7,1.56,1.52
半导体产业链,中游,3级,晶圆代工服务,601975,华虹半导体,2026-03-31,29.06,27.7,3.66,3.6
半导体产业链,中游,3级,晶圆代工服务,688981,中芯国际,2026-03-31,21.48,9.05,0.9,0.91
半导体产业链,中游,4级,数字集成电路,688261,芯联集成,2026-03-31,16.67,1.2,0.19,0.19
半导体产业链,中游,3级,芯片封装测试,600584,奥特斯,2026-03-31,14.55,3.04,1.01,1.01
半导体产业链,中游,3级,芯片封装测试,002185,华天科技,2026-03-31,11.32,1.57,0.48,0.48
半导体产业链,中游,4级,集成电路晶圆,688126,沪硅产业,2026-03-31,-11.85,-48.72,-2.87,-2.87
新能源汽车产业链,上游,4级,汽车电子芯片,688200,华峰测控,2026-03-31,75.3,34.44,2.28,2.25
新能源汽车产业链,上游,5级,碳酸锂,002466,天齐锂业,2026-03-31,62.66,55.4,4.31,4.04
新能源汽车产业链,上游,5级,DRAM芯片,603986,兆易创新,2026-03-31,57.08,35.16,6.12,5.78
新能源汽车产业链,上游,5级,FLASH芯片,603986,兆易创新,2026-03-31,57.08,35.16,6.12,5.78
新能源汽车产业链,上游,4级,存储器芯片,603986,兆易创新,2026-03-31,57.08,35.16,6.12,5.78
新能源汽车产业链,上游,4级,汽车电子芯片,603986,兆易创新,2026-03-31,57.08,35.16,6.12,5.78
新能源汽车产业链,上游,4级,汽车电子芯片,002049,紫光国微,2026-03-31,52.58,22.23,2.4,2.37
新能源汽车产业链,上游,4级,车载激光雷达,688004,禾赛科技,2026-03-31,49.24,-42.89,-1.36,-1.37
新能源汽车产业链,上游,5级,高级驾驶辅助系统（ADAS),300502,新时达,2026-03-31,49.16,33.27,14.52,13.64
新能源汽车产业链,上游,4级,传感器芯片,688056,西人马,2026-03-31,47.06,7.62,0.81,0.81
新能源汽车产业链,上游,4级,燃料电池,603027,氢璞创能,2026-03-31,40.82,18.12,4.31,4.22
新能源汽车产业链,上游,3级,IGBT功率模块,688187,时代电气,2026-03-31,33.31,13.18,1.5,1.49
新能源汽车产业链,上游,5级,质子交换膜,688187,时代电气,2026-03-31,33.31,13.18,1.5,1.49
新能源汽车产业链,上游,3级,汽车操作系统软件,300496,中科创达,2026-03-31,32.71,5.15,0.99,0.98
新能源汽车产业链,上游,3级,IGBT功率模块,300327,中颖电子,2026-03-31,31.73,4.27,1.14,1.13
新能源汽车产业链,上游,5级,电机驱动芯片,300327,中颖电子,2026-03-31,31.73,4.27,1.14,1.13
