报告期,行业,产能利用率_%,产业链标签
2026-Q2,全国规模以上工业,73.0,
2026-Q2,电力、热力、燃气及水生产和供应业,70.4,
2026-Q2,煤炭开采和洗选业,61.2,
2026-Q2,食品制造业,70.2,
2026-Q2,化学原料和化学制品制造业,69.4,
2026-Q2,非金属矿物制品业,59.6,
2026-Q2,黑色金属冶炼和压延加工业,77.6,
2026-Q2,有色金属冶炼和压延加工业,76.2,
2026-Q2,通用设备制造业,80.1,机器人产业链
2026-Q2,专用设备制造业,76.7,机器人产业链
2026-Q2,汽车制造业,70.8,新能源汽车产业链
2026-Q2,电气机械和器材制造业,70.3,新能源汽车产业链
2026-Q2,计算机、通信和其他电子设备制造业,78.7,半导体产业链
2026-Q2,采矿业,69.1,
2026-Q2,制造业,73.5,半导体产业链;新能源汽车产业链;低空经济产业链;机器人产业链;生物医药产业链
2026-Q2,石油和天然气开采业,91.7,
2026-Q2,纺织业,74.9,
2026-Q2,医药制造业,71.1,生物医药产业链
2026-Q2,化学纤维制造业,84.2,
