报告日期,指数值,PMI分项
2026年06月份,50.3,制造业-指数
2026年05月份,50.0,制造业-指数
2026年04月份,50.3,制造业-指数
2026年03月份,50.4,制造业-指数
2026年02月份,49.0,制造业-指数
2026年01月份,49.3,制造业-指数
2025年12月份,50.1,制造业-指数
2025年11月份,49.2,制造业-指数
2025年10月份,49.0,制造业-指数
2025年09月份,49.8,制造业-指数
2025年08月份,49.4,制造业-指数
2025年07月份,49.3,制造业-指数
2025年06月份,49.7,制造业-指数
2025年05月份,49.5,制造业-指数
2025年04月份,49.0,制造业-指数
2025年03月份,50.5,制造业-指数
2025年02月份,50.2,制造业-指数
2025年01月份,49.1,制造业-指数
2024年12月份,50.1,制造业-指数
2024年11月份,50.3,制造业-指数
2024年10月份,50.1,制造业-指数
2024年09月份,49.8,制造业-指数
2024年08月份,49.1,制造业-指数
2024年07月份,49.4,制造业-指数
2024年06月份,49.5,制造业-指数
2024年05月份,49.5,制造业-指数
2024年04月份,50.4,制造业-指数
2024年03月份,50.8,制造业-指数
2024年02月份,49.1,制造业-指数
2024年01月份,49.2,制造业-指数
2023年12月份,49.0,制造业-指数
2023年11月份,49.4,制造业-指数
2023年10月份,49.5,制造业-指数
2023年09月份,50.2,制造业-指数
2023年08月份,49.7,制造业-指数
2023年07月份,49.3,制造业-指数
2023年06月份,49.0,制造业-指数
2023年05月份,48.8,制造业-指数
2023年04月份,49.2,制造业-指数
2023年03月份,51.9,制造业-指数
2023年02月份,52.6,制造业-指数
2023年01月份,50.1,制造业-指数
2022年12月份,47.0,制造业-指数
2022年11月份,48.0,制造业-指数
2022年10月份,49.2,制造业-指数
2022年09月份,50.1,制造业-指数
2022年08月份,49.4,制造业-指数
2022年07月份,49.0,制造业-指数
2022年06月份,50.2,制造业-指数
2022年05月份,49.6,制造业-指数
2022年04月份,47.4,制造业-指数
2022年03月份,49.5,制造业-指数
2022年02月份,50.2,制造业-指数
2022年01月份,50.1,制造业-指数
2021年12月份,50.3,制造业-指数
2021年11月份,50.1,制造业-指数
2021年10月份,49.2,制造业-指数
2021年09月份,49.6,制造业-指数
2021年08月份,50.1,制造业-指数
2021年07月份,50.4,制造业-指数
2021年06月份,50.9,制造业-指数
2021年05月份,51.0,制造业-指数
2021年04月份,51.1,制造业-指数
2021年03月份,51.9,制造业-指数
2021年02月份,50.6,制造业-指数
2021年01月份,51.3,制造业-指数
2020年12月份,51.9,制造业-指数
2020年11月份,52.1,制造业-指数
2020年10月份,51.4,制造业-指数
2020年09月份,51.5,制造业-指数
2020年08月份,51.0,制造业-指数
2020年07月份,51.1,制造业-指数
2020年06月份,50.9,制造业-指数
2020年05月份,50.6,制造业-指数
2020年04月份,50.8,制造业-指数
2020年03月份,52.0,制造业-指数
2020年02月份,35.7,制造业-指数
2020年01月份,50.0,制造业-指数
2019年12月份,50.2,制造业-指数
2019年11月份,50.2,制造业-指数
2019年10月份,49.3,制造业-指数
2019年09月份,49.8,制造业-指数
2019年08月份,49.5,制造业-指数
2019年07月份,49.7,制造业-指数
2019年06月份,49.4,制造业-指数
2019年05月份,49.4,制造业-指数
2019年04月份,50.1,制造业-指数
2019年03月份,50.5,制造业-指数
2019年02月份,49.2,制造业-指数
2019年01月份,49.5,制造业-指数
2018年12月份,49.4,制造业-指数
2018年11月份,50.0,制造业-指数
2018年10月份,50.2,制造业-指数
2018年09月份,50.8,制造业-指数
2018年08月份,51.3,制造业-指数
2018年07月份,51.2,制造业-指数
2018年06月份,51.5,制造业-指数
2018年05月份,51.9,制造业-指数
2018年04月份,51.4,制造业-指数
2018年03月份,51.5,制造业-指数
2018年02月份,50.3,制造业-指数
2018年01月份,51.3,制造业-指数
2017年12月份,51.6,制造业-指数
2017年11月份,51.8,制造业-指数
2017年10月份,51.6,制造业-指数
2017年09月份,52.4,制造业-指数
2017年08月份,51.7,制造业-指数
2017年07月份,51.4,制造业-指数
2017年06月份,51.7,制造业-指数
2017年05月份,51.2,制造业-指数
2017年04月份,51.2,制造业-指数
2017年03月份,51.8,制造业-指数
2017年02月份,51.6,制造业-指数
2017年01月份,51.3,制造业-指数
2016年12月份,51.4,制造业-指数
2016年11月份,51.7,制造业-指数
2016年10月份,51.2,制造业-指数
2016年09月份,50.4,制造业-指数
2016年08月份,50.4,制造业-指数
2016年07月份,49.9,制造业-指数
2016年06月份,50.0,制造业-指数
2016年05月份,50.1,制造业-指数
2016年04月份,50.1,制造业-指数
2016年03月份,50.2,制造业-指数
2016年02月份,49.0,制造业-指数
2016年01月份,49.4,制造业-指数
2015年12月份,49.7,制造业-指数
2015年11月份,49.6,制造业-指数
2015年10月份,49.8,制造业-指数
2015年09月份,49.8,制造业-指数
2015年08月份,49.7,制造业-指数
2015年07月份,50.0,制造业-指数
2015年06月份,50.2,制造业-指数
2015年05月份,50.2,制造业-指数
2015年04月份,50.1,制造业-指数
2015年03月份,50.1,制造业-指数
2015年02月份,49.9,制造业-指数
2015年01月份,49.8,制造业-指数
2014年12月份,50.1,制造业-指数
2014年11月份,50.3,制造业-指数
2014年10月份,50.8,制造业-指数
2014年09月份,51.1,制造业-指数
2014年08月份,51.1,制造业-指数
2014年07月份,51.7,制造业-指数
2014年06月份,51.0,制造业-指数
2014年05月份,50.8,制造业-指数
2014年04月份,50.4,制造业-指数
2014年03月份,50.3,制造业-指数
2014年02月份,50.2,制造业-指数
2014年01月份,50.5,制造业-指数
2013年12月份,51.0,制造业-指数
2013年11月份,51.4,制造业-指数
2013年10月份,51.4,制造业-指数
2013年09月份,51.1,制造业-指数
2013年08月份,51.0,制造业-指数
2013年07月份,50.3,制造业-指数
2013年06月份,50.1,制造业-指数
2013年05月份,50.8,制造业-指数
2013年04月份,50.6,制造业-指数
2013年03月份,50.9,制造业-指数
2013年02月份,50.1,制造业-指数
2013年01月份,50.4,制造业-指数
2012年12月份,50.6,制造业-指数
2012年11月份,50.6,制造业-指数
2012年10月份,50.2,制造业-指数
2012年09月份,49.8,制造业-指数
2012年08月份,49.2,制造业-指数
2012年07月份,50.1,制造业-指数
2012年06月份,50.2,制造业-指数
2012年05月份,50.4,制造业-指数
2012年04月份,53.3,制造业-指数
2012年03月份,53.1,制造业-指数
2012年02月份,51.0,制造业-指数
2012年01月份,50.5,制造业-指数
2011年12月份,50.3,制造业-指数
2011年11月份,49.0,制造业-指数
2011年10月份,50.4,制造业-指数
2011年09月份,51.2,制造业-指数
2011年08月份,50.9,制造业-指数
2011年07月份,50.7,制造业-指数
2011年06月份,50.9,制造业-指数
2011年05月份,52.0,制造业-指数
2011年04月份,52.9,制造业-指数
2011年03月份,53.4,制造业-指数
2011年02月份,52.2,制造业-指数
2011年01月份,52.9,制造业-指数
2010年12月份,53.9,制造业-指数
2010年11月份,55.2,制造业-指数
2010年10月份,54.7,制造业-指数
2010年09月份,53.8,制造业-指数
2010年08月份,51.7,制造业-指数
2010年07月份,51.2,制造业-指数
2010年06月份,52.1,制造业-指数
2010年05月份,53.9,制造业-指数
2010年04月份,55.7,制造业-指数
2010年03月份,55.1,制造业-指数
