月份,产业链,原料类别,上游原料YoY,出厂PPIYOY,价格剪刀差
2026年06月份,半导体产业链,矿产品,10.03898635,4.1,5.93898635
2026年05月份,半导体产业链,矿产品,11.28404669,3.9,7.38404669
2026年04月份,半导体产业链,矿产品,10.99426386,2.8,8.19426386
2026年03月份,半导体产业链,矿产品,10.5513308,0.5,10.0513308
2026年02月份,半导体产业链,矿产品,11.96911197,-0.9,12.86911197
2026年01月份,半导体产业链,矿产品,16.03585657,-1.4,17.43585657
2025年12月份,半导体产业链,矿产品,10.73891626,-1.9,12.63891626
2025年11月份,半导体产业链,矿产品,8.203125,-2.2,10.403125
2025年10月份,半导体产业链,矿产品,4.67557252,-2.1,6.775572520000001
2025年09月份,半导体产业链,矿产品,6.18955513,-2.3,8.48955513
2025年08月份,半导体产业链,矿产品,0.47348485,-2.9,3.37348485
2025年07月份,半导体产业链,矿产品,-4.7309833,-3.6,-1.1309833
2025年06月份,半导体产业链,矿产品,-5.52486188,-3.6,-1.9248618799999995
2025年05月份,半导体产业链,矿产品,-5.34069982,-3.3,-2.0406998200000004
2025年04月份,半导体产业链,矿产品,-0.75901328,-2.7,1.9409867200000002
2025年03月份,半导体产业链,矿产品,0.19047619,-2.5,2.69047619
2025年02月份,半导体产业链,矿产品,-3.35820896,-2.2,-1.1582089599999996
2025年01月份,半导体产业链,矿产品,-9.46798918,-2.3,-7.16798918
2024年12月份,半导体产业链,矿产品,-8.55855856,-2.3,-6.25855856
2024年11月份,半导体产业链,矿产品,-6.99364214,-2.5,-4.49364214
2024年10月份,半导体产业链,矿产品,-2.60223048,-2.9,0.2977695200000001
2024年09月份,半导体产业链,矿产品,-3.63466915,-2.8,-0.8346691500000003
2024年08月份,半导体产业链,矿产品,-1.58434296,-1.8,0.21565703999999997
2024年07月份,半导体产业链,矿产品,3.05927342,-0.8,3.85927342
2024年06月份,半导体产业链,矿产品,8.70870871,-0.8,9.50870871
2024年05月份,半导体产业链,矿产品,9.47580645,-1.4,10.87580645
2024年04月份,半导体产业链,矿产品,5.29470529,-2.5,7.79470529
2024年03月份,半导体产业链,矿产品,3.24483776,-2.8,6.04483776
2024年02月份,半导体产业链,矿产品,4.6875,-2.7,7.3875
2024年01月份,半导体产业链,矿产品,8.83218842,-2.5,11.33218842
