年份,月份,数据类型,产业链,数值
2025,1月,销量_万辆,新能源汽车产业链,209.2576
2025,2月,销量_万辆,新能源汽车产业链,173.6659
2025,3月,销量_万辆,新能源汽车产业链,248.5014
2025,4月,销量_万辆,新能源汽车产业链,223.3138
2025,5月,销量_万辆,新能源汽车产业链,227.9242
2025,6月,销量_万辆,新能源汽车产业链,240.0137
2025,7月,销量_万辆,新能源汽车产业链,225.567
2025,8月,销量_万辆,新能源汽车产业链,245.4123
2025,9月,销量_万辆,新能源汽车产业链,284.6384
2025,10月,销量_万辆,新能源汽车产业链,294.9257
2025,11月,销量_万辆,新能源汽车产业链,310.5971
2025,12月,销量_万辆,新能源汽车产业链,282.8679
2026,1月,销量_万辆,新能源汽车产业链,200.364
2026,2月,销量_万辆,新能源汽车产业链,136.9741
2026,3月,销量_万辆,新能源汽车产业链,236.4929
2026,4月,销量_万辆,新能源汽车产业链,219.3199
2026,5月,销量_万辆,新能源汽车产业链,221.3854
2026,6月,销量_万辆,新能源汽车产业链,233.6703
2026,7月,销量_万辆,新能源汽车产业链,
2026,8月,销量_万辆,新能源汽车产业链,
2026,9月,销量_万辆,新能源汽车产业链,
2026,10月,销量_万辆,新能源汽车产业链,
2026,11月,销量_万辆,新能源汽车产业链,
2026,12月,销量_万辆,新能源汽车产业链,
,1月,销量_2025年,新能源汽车产业链,74.4462
,1月,销量_2026年,新能源汽车产业链,59.1814
,2月,销量_2025年,新能源汽车产业链,68.3481
,2月,销量_2026年,新能源汽车产业链,46.3209
,3月,销量_2025年,新能源汽车产业链,99.1194
,3月,销量_2026年,新能源汽车产业链,85.1761
,4月,销量_2025年,新能源汽车产业链,91.1204
,4月,销量_2026年,新能源汽车产业链,84.8085
,5月,销量_2025年,新能源汽车产业链,102.7156
,5月,销量_2026年,新能源汽车产业链,95.017
,6月,销量_2025年,新能源汽车产业链,111.1558
,6月,销量_2026年,新能源汽车产业链,100.6753
,7月,销量_2025年,新能源汽车产业链,98.6556
,7月,销量_2026年,新能源汽车产业链,
,8月,销量_2025年,新能源汽车产业链,111.4901
,8月,销量_2026年,新能源汽车产业链,
,9月,销量_2025年,新能源汽车产业链,129.8529
,9月,销量_2026年,新能源汽车产业链,
,10月,销量_2025年,新能源汽车产业链,128.2267
,10月,销量_2026年,新能源汽车产业链,
,11月,销量_2025年,新能源汽车产业链,132.074
,11月,销量_2026年,新能源汽车产业链,
,12月,销量_2025年,新能源汽车产业链,133.6882
,12月,销量_2026年,新能源汽车产业链,
